Nombre,Año de nacimiento,País,Apariciones,Obras vendidas,Total ventas,Precio medio,MinEst Medio,MaxEst Medio,EstA_ma,EstG_ma,Género1,Género2,Técnica1,Técnica2
GABRIEL ZEHENDER,1527.0,Suiza,1,1,352800.0,352800.0,100000.0,150000.0,125000.0,122474.49,Retrato y figura humana,,Óleo y témperas,
PIETER COECKE VAN AELST,1502.0,Bélgica,3,2,704150.0,352075.0,118666.67,169333.33,144000.0,141754.09,Pintura religiosa,Pintura histórica y mitológica,Óleo y témperas,Técnicas de dibujo húmedas
GEORGE GOWER,1538.0,Reino Unido,2,2,920950.0,460475.0,154000.0,256000.0,205000.0,198554.78,Retrato y figura humana,,Óleo y témperas,
QUENTIN METSYS,1465.0,Bélgica,1,1,10660000.0,10660000.0,8000000.0,12000000.0,10000000.0,9797958.97,Pintura religiosa,,Óleo y témperas,
MASTER OF THE LEGEND OF SAINT LUCY,1470.0,Bélgica,2,2,691500.0,345750.0,185000.0,300000.0,242500.0,235584.38,Pintura religiosa,,Óleo y témperas,
THE MONVAERNI MASTER,1461.0,Francia,1,1,441000.0,441000.0,200000.0,300000.0,250000.0,244948.97,Pintura religiosa,,Óleo y témperas,
MASTER OF MONTE OLIVETO,1305.0,Italia,1,1,1008000.0,1008000.0,800000.0,1200000.0,1000000.0,979795.9,Pintura religiosa,,Óleo y témperas,
TIZIANO VECELLIO CALLED TITIAN,1485.0,Italia,6,6,21508580.0,3584763.33,2975833.33,4813333.33,3894583.33,3784663.49,Pintura religiosa,Retrato y figura humana,Óleo y témperas,
MASTER OF THE LANDAU FINALY TRIUMPHS,1440.0,Italia,1,1,478800.0,478800.0,400000.0,600000.0,500000.0,489897.95,Pintura alegórica,,Óleo y témperas,
ALESSANDRO ALLORI,1535.0,Italia,6,5,898620.0,179724.0,151333.33,218666.67,185000.0,181910.84,Retrato y figura humana,Pintura religiosa,Óleo y témperas,Técnicas de dibujo secas
FRANCESCO DI MICHELE IL MAESTRO DI SAN MARTINO A MENSOLA,1350.0,Italia,2,2,352600.0,176300.0,85000.0,115000.0,100000.0,98868.6,Pintura religiosa,Pintura alegórica,Óleo y témperas,
GIOVANNI PIETRO RIZZOLI CALLED GIAMPIETRINO,1495.0,Italia,1,1,302400.0,302400.0,200000.0,300000.0,250000.0,244948.97,Pintura religiosa,,Óleo y témperas,
BALTHASAR VAN DER AST,1593.0,Paises Bajos,8,6,901700.0,150283.33,133750.0,203750.0,168750.0,165080.47,Bodegones,Pintura histórica y mitológica,Óleo y témperas,
EGLON HENDRIK VAN DER NEER,1603.0,Paises Bajos,5,5,455920.0,91184.0,89000.0,128000.0,108500.0,106733.31,Trabajos de estudio,Retrato y figura humana,Óleo y témperas,
PIETER BRUEGHEL THE YOUNGER,1564.0,Bélgica,10,9,14993950.0,1665994.44,851500.0,1267500.0,1059500.0,1038882.21,Pintura religiosa,Costumbrismo,Óleo y témperas,
JACOB GRIMMER,1525.0,Bélgica,2,2,252000.0,126000.0,80000.0,120000.0,100000.0,97979.59,Pintura alegórica,Pintura bucólica/Paisajes rurales,Óleo y témperas,
FRANS HALS,1581.0,Paises Bajos,4,4,16901250.0,4225312.5,3252000.0,4878000.0,4065000.0,3982870.32,Retrato y figura humana,,Óleo y témperas,
PETER LELY,1618.0,Reino Unido,11,9,1707340.0,189704.44,99454.55,151181.82,125318.18,122620.23,Retrato y figura humana,,Óleo y témperas,
GEORGE STUBBS,1724.0,Reino Unido,6,5,1904750.0,380950.0,1373333.33,1976666.67,1675000.0,1647611.06,Costumbrismo,Pintura bucólica/Paisajes rurales,Óleo y témperas,
BENJAMIN MARSHALL,1768.0,Reino Unido,2,1,75000.0,75000.0,105000.0,165000.0,135000.0,131624.47,Costumbrismo,,Óleo y témperas,
RICHARD PARKES BONINGTON,1802.0,Reino Unido,4,4,3038375.0,759593.75,638125.0,894625.0,766375.0,755567.72,Pintura religiosa,Orientalismo,Óleo y témperas,Técnicas de dibujo secas
ANTONIO JOLI,1700.0,Italia,10,9,5866680.0,651853.33,307700.0,461000.0,384350.0,376629.39,Pintura religiosa,Pintura histórica y mitológica,Óleo y témperas,
JOHANN RICHTER,1665.0,Italia,2,2,504000.0,252000.0,250000.0,350000.0,300000.0,295803.99,Retrato y figura humana,,Óleo y témperas,
JOSEPH EDWARD SOUTHALL,1861.0,Reino Unido,12,8,97552.0,12194.0,6416.67,10250.0,8333.33,8109.92,Paisaje Urbano,Trabajos de estudio,Técnicas de dibujo húmedas,Técnicas de dibujo secas
ELEANOR FORTESCUE BRICKDALE,1871.0,Reino Unido,9,8,136790.0,17098.75,8833.33,13166.67,11000.0,10784.5,Pintura religiosa,Retrato y figura humana,Técnicas de dibujo húmedas,Óleo y témperas
HENRY MEYNELL RHEAM,1859.0,Reino Unido,4,4,77556.0,19389.0,18250.0,29750.0,24000.0,23301.02,Pintura alegórica,Costumbrismo,Técnicas de dibujo húmedas,
