Fecha,Ciudad,Ofertadas,Obras vendidas,Total ventas,Precio medio,MinEst Medio,MaxEst Medio,EstA_ms,EstG_ms
2024-07-02,LONDON,24,20,43594800.0,2179740.0,1726250.0,2659166.67,2192708.34,2142518.72
2024-06-04,LONDON,69,48,2113650.0,44034.38,46007.25,68572.46,57289.86,56167.88
2024-05-31,PARIS,53,30,778302.0,25943.4,14198.11,21415.09,17806.6,17437.14
2024-05-23,NEW YORK,128,103,5765256.0,55973.36,40968.75,61843.75,51406.25,50335.49
2024-01-31,NEW YORK,143,91,16017598.0,176017.56,150349.65,226783.22,188566.44,184653.13
2023-12-08,LONDON,70,51,1237698.0,24268.59,19542.86,29085.71,24314.28,23841.52
2023-12-07,LONDON,40,30,21730420.0,724347.33,451500.0,676250.0,563875.0,552563.91
2023-11-02,PARIS,69,46,717696.0,15602.09,10695.65,16066.67,13381.16,13108.91
2023-11-15,PARIS,28,19,1509480.0,79446.32,53750.0,80714.29,67232.14,65866.48
2023-07-13,LONDON,69,55,1363068.0,24783.05,19934.78,30094.2,25014.49,24493.29
2023-07-07,LONDON,80,51,1443645.0,28306.76,20287.5,30150.0,25218.75,24731.93
2023-07-06,LONDON,72,62,53179350.0,857731.45,423013.89,628222.22,525618.05,515506.28
2023-07-04,LONDON,84,64,1691928.0,26436.38,14853.57,22017.86,18435.72,18084.35
2023-06-15,PARIS,44,36,8614850.0,239301.39,90159.09,141431.82,115795.46,112921.94
2023-05-25,NEW YORK,78,60,3037482.0,50624.7,42102.56,64089.74,53096.15,51945.57
2023-12-14,LONDON,74,52,1822464.0,35047.38,39682.43,57114.86,48398.64,47607.31
2024-04-09,PARIS,11,11,4176900.0,379718.18,230909.09,356363.64,293636.36,286858.16
2023-05-24,NEW YORK,72,72,3254454.0,45200.75,40680.56,60763.89,50722.22,49718.3
2023-01-17,NEW YORK,60,42,1236438.0,29439.0,25600.0,37700.0,31650.0,31066.38
2023-01-25,NEW YORK,123,111,62669560.0,564590.63,497260.16,713837.4,605548.78,595787.63
