URL,Técnica,Tamaño,AP0,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9
https://www.christies.com/en/lot/lot-6486267?ldp_breadcrumb=back,,,,,,,,,,,,
https://www.christies.com/en/lot/lot-6486270?ldp_breadcrumb=back,,,,,,,,,,,,
https://www.christies.com/en/lot/lot-6486789?ldp_breadcrumb=back,pastel on board,12 3/8 x 17 ¾ in. (31.5 x 45 cm.),"Acquired from the artist by Galerie Durand-Ruel, Paris (no. 2973).",,,,,,,,,
https://www.christies.com/en/lot/lot-6486278?ldp_breadcrumb=back,oil on panel,10 ¼ x 11 in. (26 x 28 cm.),"Anonymous sale; Dorotheum, Vienna, 21 April 2016, lot 1161, when acquired by the present owner.",,,,,,,,,
https://www.christies.com/en/lot/lot-6486280?ldp_breadcrumb=back,pastel on paper laid down on cardboard,15 ¾ x 13 in. (40 x 33 cm.),"Acquired by the family of the present owners, early 20th century.","Enrico Mascioni, Milan.","Angelo Sommaruga, Paris","Acquired directly from the artist by Durand-Ruel Galleries, Paris, no. 5131.",,,,,,
https://www.christies.com/en/lot/lot-6486281?ldp_breadcrumb=back,oil on panel,18 x 11¾ in. (46 x 29.8 cm.),Acquired by the present owner from the above via a private treaty sale in 2001.,"Private collection, Europe.","with The Fine Art Society, London, October 1979.","Anonymous sale; Sotheby's Humberts, Taunton, 26 September 1979, lot 554.",,,,,,
https://www.christies.com/en/lot/lot-6486283?ldp_breadcrumb=back,pencil and watercolour heightened with white on Pall Mall paper,14 5/8 x 20 7/8 in. (37.3 x 53.1 cm.),"Acquired by the grandfather of the present owners, and by descent.",,,,,,,,,
https://www.christies.com/en/lot/lot-6486284?ldp_breadcrumb=back,"pencil and watercolour, heightened with white on R.W.S. paper",14 ¾ x 20 7/8 in. (37.4 x 53 cm.),"Acquired by the grandfather of the present owners, and by descent.",,,,,,,,,
https://www.christies.com/en/lot/lot-6486285?ldp_breadcrumb=back,"pencil, watercolour and bodycolour on paper",9 7/8 x 14 in. (22.5 x 35.6 cm.),"Anonymous sale; Christie's, London, 15 March 1996, lot 113, when acquired by the present owner.",,,,,,,,,
https://www.christies.com/en/lot/lot-6486297?ldp_breadcrumb=back,pen and brown ink and watercolour on paper,18 ¾ x 25 3/8 in. (47.6 x 64.3 cm.),"Anonymous sale; Christie's, London, 15 March 1996, lot 132.","Anonymous sale; Christie's, London, 2 October 1992, lot 94.",,,,,,,,
https://www.christies.com/en/lot/lot-6486380?ldp_breadcrumb=back,oil on canvas,30 1/8 x 24 in. (76.5 x 61 cm.),,,,,,,,,,
https://www.christies.com/en/lot/lot-6486381?ldp_breadcrumb=back,oil on panel,10 1/8 x 8 in. (25.8 x 20.3 cm.),"Anonymous sale; Doyle, New York, 12 February 2020, lot 17, when acquired by the present owner.",Estate of Laura M. Mako.,"with Arthur Ackermann & Son, London.",,,,,,,
https://www.christies.com/en/lot/lot-6486382?ldp_breadcrumb=back,"pencil, watercolour and bodycolour with gum arabic on card",13 ¾ x 9 ¾ in. (35 x 25 cm.),"Anonymous sale; Christie's, London, 16 February 1925, lot 89 (8 gns to Sutton).","with Dowdeswell & Dowdeswells, London, by 1908.",,,,,,,,
https://www.christies.com/en/lot/lot-6486383?ldp_breadcrumb=back,"pencil, watercolour and bodycolour on paper",14 x 10 ½ in. (35.6 x 26.7 cm.),"Anonymous sale; Christie's, South Kensington, 12 December 2012, lot 26, when acquired by the present owner.",,,,,,,,,
https://www.christies.com/en/lot/lot-6486384?ldp_breadcrumb=back,"pencil, watercolour and bodycolour with gum arabic on paper",8 1/8 x 11 in. (20.6 x 27.9 cm.),"Anonymous sale; Christie's, London, 12 December 2012, lot 32, when acquired by the present owner.",,,,,,,,,
https://www.christies.com/en/lot/lot-6480995?ldp_breadcrumb=back,watercolor over pencil on paper laid down,9 ½ x 15 ¼ in. (24.1 x 38.7 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Bruun Rasmussen, Copenhagen, 19 November 1990, lot 114.",,,,,,,,
https://www.christies.com/en/lot/lot-6480996?ldp_breadcrumb=back,oil on canvas,13 ¾ x 11 ²/₈ in. (34.9 x 28.6 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Museumsbygningen, Copenhagen, 5 March 1998, lot 3.","Anonymous sale; Winkel & Magnussen, Copenhagen, 13 October 1949, lot 153, as Gadescene i Nürnberg.","His estate sale; Winkel & Magnussen, Copenhagen, 5 October 1932, lot 80.","General Consul Johan Hansen (1838-1913) and Emma Hikens Hansen (1838-1918), Copenhagen.",,,,,
https://www.christies.com/en/lot/lot-6480997?ldp_breadcrumb=back,oil on canvas,13 ½ x 9 ¾ in. (34.3 x 24.8 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Kunsthallen, Copenhagen, 29 August 1996, lot 177, as Bråbyporten ved Gisselfeld, på gårdspladsen spadserende mand med stok.","Marie Ringberg, until April 1905.",,,,,,,
https://www.christies.com/en/lot/lot-6481000?ldp_breadcrumb=back,oil on canvas,40 x 32 5/8 in. (101.6 x 82.8 cm.),"Sir Fitzroy Maclean, BT., K.T., his deceased sale; Christie's, London, 13 December 1996, lot 262, as Caesar van Everdingen, where acquired by the present owner.","(Possibly) Acquired in the early 19th century by Dr. Joseph Carlyle, and by descent.",,,,,,,,
https://www.christies.com/en/lot/lot-6481001?ldp_breadcrumb=back,oil on canvas,50 ½ x 42 ¾ in. (128.2 x 108.6 cm.),"[Property of a Gentleman]; Christie's, London, 4 July 1997, lot 58, where acquired by the present owner.","Major and Mrs. Goodliffe, Birdtown, Burnfoot, Co. Donegal, by 1957.",Arnold Friedlaender (according to label on reverse).,"with Martin Colnaghi, London, by 1894.","W. R. Preston, Sidmouth; [The Property of a Gentleman in the Country], Christie's, London, 25 June 1850, lot 55 as Weenix.","Anonymous sale; William Ford, The Exchange, Manchester, 8-10 May 1822, lot 433.",,,,
https://www.christies.com/en/lot/lot-6481002?ldp_breadcrumb=back,oil on canvas,40 3/8 x 40 ¾ in. (102.5 x 103.5 cm),"William Vaughan-Jenkins, Bath; [Property from the Estate of the Late W. Vaughan-Jenkins], Sotheby's, London, 3 July 1991, lot 67, as 'Giuseppe Cades,' where acquired by the present owner.","Vaughan collection, Combe Grove Manor, Bath, and by descent to,",,,,,,,,
https://www.christies.com/en/lot/lot-6481003?ldp_breadcrumb=back,"oil on canvas, unframed",76 x 55 ½ in. (193 x 141 cm.),"Anonymous sale; Christie's, London, 5 July 1996, lot 416, where acquired by the present owner.",,,,,,,,,
https://www.christies.com/en/lot/lot-6481004?ldp_breadcrumb=back,oil on canvas,36 ¼ x 45 3/8 in. (92 x 115.2 cm),"Anonymous sale; Christie's, New York, 29 January 1998, lot 228, where acquired by the present owner.",,,,,,,,,
https://www.christies.com/en/lot/lot-6481005?ldp_breadcrumb=back,oil on canvas,46 7/8 x 35 ¾ in. (119 x 90.8 cm.),"Anonymous sale; Christie's, London, 24 May 1991, lot 67, where acquired by the present owner.","Robert L. Manning (1924-1996) and Bertina Suida (1922-1992), New York.",,,,,,,,
https://www.christies.com/en/lot/lot-6481006?ldp_breadcrumb=back,oil on canvas,41 ½ x 29 in. (105.4 x 73.7 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Christie's, New York, 24 May 1989, lot 287.","T. Williams, 1927.",,,,,,,
https://www.christies.com/en/lot/lot-6481007?ldp_breadcrumb=back,oil on canvas,42 x 30 ¼ in. (106.7 x 76.8 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Christie's, New York, 12 October 1993, lot 55.","Her estate sale; Christie's, New York, 3 February 1988, lot 186W, as Shepherd, Sheep and Lamb.","Edward Laurence Doheny (1856-1935) and Carrie Estelle Betzold Doheny (1875-1958), Los Angeles, acquired directly from the above, August 1914.","with M. Knoedler & Co., New York, acquired directly from the above, 30 November 1910.","Ellen Burdett Slater (1858-1941) and William Albert Slater (1857-1919), Washington, D.C.",,,,
https://www.christies.com/en/lot/lot-6481008?ldp_breadcrumb=back,oil on canvas,13 1/8 x 23 ¾ in. (33.4 x 60.3 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Sotheby's, London, 27 March 1990, lot 143.",,,,,,,,
https://www.christies.com/en/lot/lot-6481009?ldp_breadcrumb=back,oil on canvas,7 ¾ x 11 7/8 in. (19.7 x 30.2 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Bruun Rasmussen, Copenhagen, 31 August 1999, lot 107.",,,,,,,,
https://www.christies.com/en/lot/lot-6481010?ldp_breadcrumb=back,"oil on canvas, unframed",31 ½ x 39.4 in. (80 x 100 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Sotheby's, New York, 22 February 1989, lot 250.",,,,,,,,
https://www.christies.com/en/lot/lot-6481011?ldp_breadcrumb=back,oil on canvas,29 ¾ x 44 in. (75.6 x 111.8 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Sotheby's, London, 28 March 1990, lot 237.",,,,,,,,
https://www.christies.com/en/lot/lot-6481012?ldp_breadcrumb=back,oil on canvas,9 5/8 x 12 ¾ in. (24.6 x 32.4 cm.),Acquired at the above sale by the present owner.,"Her estate sale; Sotheby's, New York, 23 May 1990, lot 31.","Julia McGuire Blewer (1903-1989) and Francis Livingston Blewer (1900-1990), New York, acquired directly from the above, 1970.","with Galerie Philippe Reichenbach, by 1970.","Anonymous sale; Hôtel Drouot, Paris, 17 November 1969, lot 94, as La rentrée des classes.",,,,,
https://www.christies.com/en/lot/lot-6481013?ldp_breadcrumb=back,"oil on canvas, unframed",42 5/8 x 56 ½ in. (108.2 x 143.5 cm.),"Anonymous sale; Sotheby's, London, 8 July 1992, lot 48, where acquired by the present owner.","Private collection, United States, by 1924, as Antonio Amorosi.",,,,,,,,
https://www.christies.com/en/lot/lot-6481014?ldp_breadcrumb=back,oil on canvas,37 ½ x 27 ½ in. (95.3 x 69.8 cm.),"[Property of a Lady]; Sotheby's, London, 24 April 2008, lot 109, where acquired by the present owner.",,,,,,,,,
https://www.christies.com/en/lot/lot-6481015?ldp_breadcrumb=back,"oil on canvas, unframed",36 1/8 x 29 ¼ in. (91.7 x 74.2 cm),"Anonymous sale; Sotheby's, Monaco, 7 December 1990, lot 41, where acquired by the present owner.",,,,,,,,,
https://www.christies.com/en/lot/lot-6481016?ldp_breadcrumb=back,"oil on canvas, unframed",95 x 135 5/8 in. (241.5 x 344.5 cm.),"[Property of a Gentleman]; Sotheby's, London, 8 July 1999, lot 70, as 'Attributed to Carlo Maratti,' where acquired by the present owner.","Private collection, Brussels, by 1984, and by whom sold,",,,,,,,,
https://www.christies.com/en/lot/lot-6481017?ldp_breadcrumb=back,"oil on canvas, unframed",23 ¾ x 20 ¼ in. (60.3 x 51.4 cm.),"Anonymous sale; Phillips, London, 2 December 1997, lot 60, as 'Simon Renard de St. André', where acquired by the present owner.",,,,,,,,,
https://www.christies.com/en/lot/lot-6481018?ldp_breadcrumb=back,oil on canvas,55 ½ x 68 1/8 in. (140.9 x 173 cm.),"Anonymous sale; Sotheby's, Amsterdam, 12 May 1992, lot 157 as 'Abraham van der Schoor', where acquired by the present owner.",,,,,,,,,
https://www.christies.com/en/lot/lot-6481019?ldp_breadcrumb=back,oil on panel,15 ¼ x 21 ¼ in. (38.5 x 54 cm),"Anonymous sale; Sotheby's, New York, 16 May 1996, lot 148, where acquired by the present owner.","Anonymous sale; Phillips, London, 4 July 1995, lot 70.","Private collection, Netherlands, by 1994.","Private collection, Germany, by 1990.","Anonymous sale; Leo Spik, Berlin, 11-13 Dec 1986, lot 425.","Prince Léon Radziwill (1880-1927), Monte Carlo (according to a label on the reverse).","The Royal Family, Poland, and by whom gifted to the following,",,,
https://www.christies.com/en/lot/lot-6481020?ldp_breadcrumb=back,"oil on panel, unframed",20 3/8 x 14 3/8 in. (51.8 x 36.5 cm.),"Anonymous sale; Sotheby's, New York, 18 October 2000, lot 132, where acquired by the present owner.",,,,,,,,,
https://www.christies.com/en/lot/lot-6481021?ldp_breadcrumb=back,oil on canvas,11 ¼ x 15 in. (28.6 x 38.1 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Sotheby's, New York, 23 May 1997, lot 61.",,,,,,,,
https://www.christies.com/en/lot/lot-6481022?ldp_breadcrumb=back,oil on canvas,14 ¾ x 11 7/8 in. (37.5 x 30.2 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Sotheby's, London, 19 November 1997, lot 89, as Baiting the Lines, Limfjorden.","J. J. Holm, until April 1905.",,,,,,,
https://www.christies.com/en/lot/lot-6481023?ldp_breadcrumb=back,oil on canvas,24 x 27 ¼ in. (61 x 69.2 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Sotheby's, London, 24 June 1998, lot 25.","Robert Fraenckel, Copenhagen.","Hans Caspersen (1782-1865), Copenhagen, acquired directly from the above in a lottery, 1837, until at least 1845.","Kunstforeningen, Copenhagen, acquired directly from the above.",The artist.,,,,
https://www.christies.com/en/lot/lot-6481024?ldp_breadcrumb=back,oil on canvas,17 3/8 x 13 ¼ in. (44.2 x 33.7 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Kunsthallen, Copenhagen, 9 September 1998, lot 46.","Anonymous sale; Christie's, London, 19 June 1981, lot 91.","Michael Classen (1758-1835), Danish Consul General for Paris, gifted by the above, 7 November 1816.",The artist.,,,,,
https://www.christies.com/en/lot/lot-6481025?ldp_breadcrumb=back,oil on canvas,27 ½ x 22 7/8 in. (69.9 x 58 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Sotheby's, London, 28 March 1990, lot 96.","His sale; Bruun Rasmussen, Copenhagen, 18 April 1989, lot 46, as En Pergola på Capri.","Count Carl Adam Greve Moltke (1908-1989), Christiansholm.","Anonymous sale; Bruun Rasmussen, Copenhagen, 30 September-5 October 1970, lot 141.","Erling Bache, by 1953.","Juliane Emilie Købke (1845-1926), Copenhagen, his sister, by descent, until at least April 1912.","Hans Peter Carl Købke (1841-1823), Copenhagen, his son, by descent, until at least 1884.",The artist.,
https://www.christies.com/en/lot/lot-6481026?ldp_breadcrumb=back,oil on canvas,28 x 42 in. (71.1 x 106.7 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Sotheby's, London, 14 July 1993, lot 93.","Private collection, United Kingdom.","with Leggatt Brothers, London, acquired at the above sale.","His sale; Christie's, London, 3 July 1964, lot 80.","Thomas Edwal Samson (1898-1979), Newport, Wales, by 9 June 1951.","Elizabeth Steen Gibbons (d. 1889), London, commissioned by her late husband, acquired directly from the above in 1851, until at least 5 May 1883.",The artist.,,
https://www.christies.com/en/lot/lot-6481027?ldp_breadcrumb=back,oil on canvas,21 x 30 in. (53.3 x 76.2 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Sotheby's, London, 2 September 1998, lot 1378.",,,,,,,,
https://www.christies.com/en/lot/lot-6481028?ldp_breadcrumb=back,oil on canvas,28 ¾ x 43 7/8 in. (73 x 111.3 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Bruun Rasmussen, Copenhagen, 31 August 1999, lot 140, as Partie af Lilleland i Øvre Tellemarken i Norge.","Anonymous sale; Bruun Rasmussen, Copenhagen, 15 November 1990, lot 186, as Parti fra Tyrol med bjerge og brusende flod.",,,,,,,
https://www.christies.com/en/lot/lot-6481029?ldp_breadcrumb=back,oil on canvas,11 ½ x 39 ¾ in. (28.6 x 101 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Bruun Rasmussen, Copenhagen, 31 August 1999, lot 94.",,,,,,,,
https://www.christies.com/en/lot/lot-6481030?ldp_breadcrumb=back,oil on canvas,31 3/8 x 50 ½ in. (79.7 x 128.3 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Christie's, London, 29 April 1999, lot 148.",,,,,,,,
https://www.christies.com/en/lot/lot-6481031?ldp_breadcrumb=back,oil on canvas,22 1/8 x 34 1/8 in. (56.3 x 86.8 cm.),Acquired at the above sale by the present owner.,"Anonymous sale; Bruun Rasmussen, Copenhagen, 1 December 1998, lot 225.","Anonymous sale; Winkel & Magnussen, Copenhagen, 19 October 1933, lot 179.","Holger Mundt (1887-1957), their son, and Harriet Mundt (1889-1975), his wife, Copenhagen, by descent.","Christopher M. Mundt (1844-1925) and Antonie Sophie Nathalie Mundt (1851-1920), Copenhagen, by October 1895.",,,,,
