Tema,Ciudad,Fecha,Número de lote,URL,Título del lote,Nombre del artista,Precio estimado,Precio de venta,URL imagen
British and European Art,LONDON,4 JUN 2024,LOT 1,https://www.christies.com/en/lot/lot-6486197?ldp_breadcrumb=back,"Rio Della Guerra, Venice","JOSEPH EDWARD SOUTHALL, R.W.S. (BRITISH, 1861-1944)","GBP 12,000 - 18,000",No vendido,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0001_000(joseph_edward_southall_rws_rio_della_guerra_venice120020).jpg
British and European Art,LONDON,4 JUN 2024,LOT 2,https://www.christies.com/en/lot/lot-6486198?ldp_breadcrumb=back,"The Mill Cottage, Harlech, North Wales","JOSEPH EDWARD SOUTHALL, R.W.S. (BRITISH, 1861-1944)","GBP 3,000 - 5,000","GBP 4,032",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0002_000(joseph_edward_southall_rws_the_mill_cottage_harlech_north_wales120036).jpg
British and European Art,LONDON,4 JUN 2024,LOT 3,https://www.christies.com/en/lot/lot-6486782?ldp_breadcrumb=back,"Self-portrait, bust-length, wearing a fez","JOSEPH EDWARD SOUTHALL, R.W.S. (BRITISH, 1861-1944)","GBP 1,500 - 2,500","GBP 8,820",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0003_000(joseph_edward_southall_rws_self-portrait_bust-length_wearing_a_fez120104).jpg
British and European Art,LONDON,4 JUN 2024,LOT 4,https://www.christies.com/en/lot/lot-6486203?ldp_breadcrumb=back,"Fisherman with a bucket, Southwold","JOSEPH EDWARD SOUTHALL, R.W.S. (BRITISH, 1861-1944)","GBP 1,500 - 2,500","GBP 2,772",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0004_000(joseph_edward_southall_rws_fisherman_with_a_bucket_southwold120125).jpg
British and European Art,LONDON,4 JUN 2024,LOT 5,https://www.christies.com/en/lot/lot-6486204?ldp_breadcrumb=back,The Birth of the Rose,"ELEANOR FORTESCUE BRICKDALE, R.W.S. (BRITISH, 1872-1945)","GBP 5,000 - 8,000","GBP 13,860",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0005_000(eleanor_fortescue_brickdale_rws_the_birth_of_the_rose120140).jpg
British and European Art,LONDON,4 JUN 2024,LOT 6,https://www.christies.com/en/lot/lot-6486205?ldp_breadcrumb=back,The Sleeping Beauty,"HENRY MEYNELL RHEAM (BRITISH, 1859-1920)","GBP 60,000 - 100,000","GBP 63,000",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0006_000(henry_meynell_rheam_the_sleeping_beauty120158).jpg
British and European Art,LONDON,4 JUN 2024,LOT 7,https://www.christies.com/en/lot/lot-6486207?ldp_breadcrumb=back,The Crystal,"HENRY MEYNELL RHEAM (BRITISH, 1859-1920)","GBP 3,000 - 5,000","GBP 3,276",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0007_000(henry_meynell_rheam_the_crystal120220).jpg
British and European Art,LONDON,4 JUN 2024,LOT 8,https://www.christies.com/en/lot/lot-6486208?ldp_breadcrumb=back,Afternoon in the Colonna Garden,"MARIE SPARTALI STILLMAN (BRITISH, 1844-1927)","GBP 7,000 - 10,000","GBP 9,450",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0008_000(marie_spartali_stillman_afternoon_in_the_colonna_garden120237).jpg
British and European Art,LONDON,4 JUN 2024,LOT 9,https://www.christies.com/en/lot/lot-6486209?ldp_breadcrumb=back,A male figure dressed in orange holding a palm; and A female figure dressed in blue holding a palm,"CHARLES FAIRFAX MURRAY (BRITISH, 1849-1919)","GBP 10,000 - 15,000",No vendido,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0009_000(charles_fairfax_murray_a_male_figure_dressed_in_orange_holding_a_palm120248).jpg
British and European Art,LONDON,4 JUN 2024,LOT 10,https://www.christies.com/en/lot/lot-6486210?ldp_breadcrumb=back,The Maid and the Unicorn,"EDMUND DULAC (BRITISH, 1882-1953)","GBP 15,000 - 25,000","GBP 17,640",https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22681_0010_000(edmund_dulac_the_maid_and_the_unicorn120329).jpg
