Nombre,Año de nacimiento,País,Género,Medio,Soporte,Alto,Ancho,Número de piezas,Área total,Proporción,NumAP,URL imagen,Ciudad,Fecha,NumL,Mínimo estimado,Máximo estimado,EstA,EstG,Vendido,Precio_num,indiceV,logP,Prc_atípico
GABRIEL ZEHENDER,1527.0,Suiza,Retrato y figura humana,Óleo y témperas,Tabla/Panel,46.3,54.6,1.0,2527.98,0.8479853479853479,1,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0001_000(gabriel_zehender_double_portrait_of_a_married_couple_half-length083200).jpg,LONDON,2024-07-02,1.0,100000.0,150000.0,125000.0,122474.49,1,352800.0,5.056,12.773656603114773,1
PIETER COECKE VAN AELST I,1502.0,Bélgica,Pintura religiosa,Óleo y témperas,Tabla/Panel,91.8,67.0,1.0,6150.599999999999,1.370149253731343,4,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0002_000(pieter_coecke_van_aelst_i_saint_jerome_in_his_study083219).jpg,LONDON,2024-07-02,2.0,150000.0,200000.0,175000.0,173205.08,1,680400.0,10.608,13.430436139503843,1
GEORGE GOWER,1538.0,Reino Unido,Retrato y figura humana,Óleo y témperas,Tabla/Panel,47.4,34.6,1.0,1640.04,1.3699421965317915,3,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0003_000(attributed_to_george_gower_portrait_of_queen_elizabeth_i_bust-length_i083756).jpg,LONDON,2024-07-02,3.0,300000.0,500000.0,400000.0,387298.33,1,907200.0,3.036,13.718118211955625,1
QUENTIN METSYS,1550.0,Desconocido,Pintura religiosa,Óleo y témperas,Tabla/Panel,75.3,62.9,1.0,4736.37,1.1971383147853736,6,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0004_000(quentin_metsys_the_madonna_of_the_cherries083827).jpg,LONDON,2024-07-02,4.0,8000000.0,12000000.0,10000000.0,9797958.97,1,10660000.0,0.665,16.182008976701972,2
MASTER OF THE LEGEND OF SAINT LUCY,1470.0,Bélgica,Pintura religiosa,Óleo y témperas,Tabla/Panel,72.1,54.5,1.0,3929.45,1.3229357798165136,5,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0005_000(master_of_the_legend_of_saint_lucy_saint_anthony_of_padua_with_the_inf083947).jpg,LONDON,2024-07-02,5.0,300000.0,500000.0,400000.0,387298.33,1,504000.0,1.02,13.130331547053506,1
THE MONVAERNI MASTER,1461.0,Francia,Pintura religiosa,Otros,Papel/Cartón,26.87005768508881,42.70924958366747,3.0,1147.6,0.6291390728476821,5,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0006_000(attributed_to_the_monvaerni_master_a_triptych_depicting_the_betrayal_o084008).jpg,LONDON,2024-07-02,6.0,200000.0,300000.0,250000.0,244948.97,1,441000.0,2.41,12.996800154428984,1
MASTER OF MONTE OLIVETO,1305.0,Italia,Pintura religiosa,Óleo y témperas,Tabla/Panel,33.8,24.1,1.0,814.5799999999999,1.4024896265560165,3,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0007_000(master_of_monte_oliveto_the_madonna_and_child084805).jpg,LONDON,2024-07-02,7.0,800000.0,1200000.0,1000000.0,979795.9,1,1008000.0,0.52,13.82347872761345,1
TIZIANO VECELLIO CALLED TITIAN,1485.0,Italia,Costumbrismo,Óleo y témperas,Lienzo,46.2,62.9,1.0,2905.98,0.7344992050874405,8,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0008_000(tiziano_vecellio_called_titian_the_rest_on_the_flight_into_egypt_d6490833084818).jpg,LONDON,2024-07-02,8.0,15000000.0,25000000.0,20000000.0,19364916.73,1,17560000.0,0.256,16.681134146171246,2
MASTER OF THE LANDAU FINALY TRIUMPHS,1440.0,Italia,Pintura alegórica,Óleo y témperas,Tabla/Panel,51.0,183.5,1.0,9358.5,0.2779291553133515,4,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0009_000(master_of_the_landau_finaly_triumphs_the_triumph_of_love_and_the_trium_d6490834084835).jpg,LONDON,2024-07-02,9.0,400000.0,600000.0,500000.0,489897.95,1,478800.0,0.394,13.079038252665955,1
ALESSANDRO ALLORI,1535.0,Italia,Retrato y figura humana,Técnicas de dibujo secas,Papel/Cartón,42.0,25.5,1.0,1071.0,1.6470588235294117,1,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0010_000(alessandro_allori_a_standing_man_turning_to_the_left_with_outstretched_d6490835052254).jpg,LONDON,2024-07-02,10.0,200000.0,300000.0,250000.0,244948.97,1,239400.0,0.394,12.38589107210601,1
FRANCESCO DI GIORGIO MARTINI,1350.0,Italia,Pintura alegórica,Óleo y témperas,Tabla/Panel,45.0,140.2,1.0,6308.999999999999,0.3209700427960057,4,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0011_000(circle_of_francesco_di_giorgio_martini_the_triumph_of_julius_caesar084904).jpg,LONDON,2024-07-02,11.0,150000.0,200000.0,175000.0,173205.08,1,327600.0,3.552,12.69954863096105,1
GIOVANNI PIETRO RIZZOLI CALLED GIAMPIETRINO,1495.0,Italia,Pintura religiosa,Óleo y témperas,Tabla/Panel,66.5,51.7,1.0,3438.05,1.2862669245647969,10,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0012_000(giovanni_pietro_rizzoli_called_giampietrino_the_madonna_suckling_the_i123234).jpg,LONDON,2024-07-02,12.0,200000.0,300000.0,250000.0,244948.97,1,302400.0,1.024,12.619505923287514,1
BALTHASAR VAN DER AST,1593.0,Paises Bajos,Bodegones,Óleo y témperas,Tabla/Panel,55.0,100.4,1.0,5522.0,0.547808764940239,7,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0013_000(balthasar_van_der_ast_a_macaw_on_an_upturned_basket_of_apples_a_pewter085434).jpg,LONDON,2024-07-02,13.0,250000.0,350000.0,300000.0,295803.99,0,,,,0
AERT VAN DER NEER,1603.0,Paises Bajos,Trabajos de estudio,Óleo y témperas,Tabla/Panel,34.0,51.1,1.0,1737.4,0.6653620352250489,4,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0014_001(aert_van_der_neer_a_wooded_river_landscape_with_figures_and_a_cottage_d6490839085718).jpg,LONDON,2024-07-02,14.0,80000.0,120000.0,100000.0,97979.59,1,63000.0,-0.425,11.05089000537367,0
PIETER BRUEGHEL THE YOUNGER,1564.0,Bélgica,Pintura religiosa,Óleo y témperas,Tabla/Panel,42.3,57.4,1.0,2428.02,0.7369337979094076,6,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0015_000(pieter_brueghel_the_younger_the_seven_acts_of_mercy085734).jpg,LONDON,2024-07-02,15.0,700000.0,1000000.0,850000.0,836660.03,0,,,,0
JACOB GRIMMER,1525.0,Bélgica,Pintura alegórica,Óleo y témperas,Tabla/Panel,16.04070735069492,16.04070735069492,1.0,257.304292310638,1.0,3,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0016_000(jacob_grimmer_the_month_of_october_with_the_sign_of_scorpio_the_month114143).jpg,LONDON,2024-07-02,16.0,80000.0,120000.0,100000.0,97979.59,1,113400.0,0.835,11.638676670275789,0
FRANS HALS,1581.0,Paises Bajos,Retrato y figura humana,Óleo y témperas,Lienzo,93.4,76.2,1.0,7117.080000000001,1.2257217847769029,5,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0017_000(frans_hals_portrait_of_a_gentleman_of_the_de_wolff_family_possibly_joo090359).jpg,LONDON,2024-07-02,17.0,4000000.0,6000000.0,5000000.0,4898979.49,1,5715000.0,0.8575,15.558604855211048,2
PETER LELY,1618.0,Reino Unido,Retrato y figura humana,Óleo y témperas,Lienzo,180.4,142.2,1.0,25652.88,1.268635724331927,1,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0020_000(sir_peter_lely_and_studio_portrait_of_barbara_villiers_countess_of_cas091151).jpg,LONDON,2024-07-02,20.0,120000.0,180000.0,150000.0,146969.38,1,567000.0,7.45,13.248114582709889,1
GEORGE STUBBS,1724.0,Reino Unido,Pintura bucólica/Paisajes rurales,Óleo y témperas,Lienzo,184.5,274.0,1.0,50553.0,0.6733576642335767,9,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0021_000(george_stubbs_ara_mares_and_foals_in_an_extensive_landscape091609).jpg,LONDON,2024-07-02,21.0,7000000.0,10000000.0,8500000.0,8366600.27,0,,,,0
BENJAMIN MARSHALL,1768.0,Reino Unido,Costumbrismo,Óleo y témperas,Lienzo,78.0,97.6,1.0,7612.799999999999,0.7991803278688525,4,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0022_000(benjamin_marshall_the_hon_peniston_lamb_with_his_horse_assassin_and_hi_d6490847091916).jpg,LONDON,2024-07-02,22.0,150000.0,250000.0,200000.0,193649.17,0,,,,0
RICHARD PARKES BONINGTON,1802.0,Reino Unido,Paisaje Urbano,Óleo y témperas,Tabla/Panel,35.3,45.2,1.0,1595.56,0.7809734513274336,9,https://www.christies.com/img/lotimages/2024/CKS/2024_CKS_22668_0023_000(richard_parkes_bonington_the_rialto_venice092833).jpg,LONDON,2024-07-02,23.0,2500000.0,3500000.0,3000000.0,2958039.89,1,2944000.0,0.444,14.895279758830904,2
